Latitude  Longitude
45.067354600 7.655367400 
45.067356400 7.655361600 
45.067358200 7.655355800 
45.067360000 7.655350000 
45.067361800 7.655344200 
45.067363600 7.655338400 
45.067365400 7.655332600 
45.067367200 7.655326800 
45.067369000 7.655321000 
45.067370800 7.655315200 
45.067372600 7.655309400 
45.067374400 7.655303600 
45.067376200 7.655297800 
45.067378000 7.655292000 
45.067379800 7.655286200 
45.067381600 7.655280400 
45.067383400 7.655274600 
45.067385200 7.655268800 
45.067387000 7.655263000 
45.067388800 7.655257200 
45.067390600 7.655251400 
45.067392400 7.655245600 
45.067396 7.655234 
45.067388333 7.655184000 
45.067380667 7.655134000 
45.067373 7.655084 
45.067359500 7.655014000 
45.067346 7.654944 
45.067303167 7.654871167 
45.067306333 7.654794333 
45.067307833 7.65473 
45.067297150 7.654724923 
45.067286468 7.654719846 
45.067275785 7.654714769 
45.067265103 7.654709692 
45.067254420 7.654704615 
45.06724373760625 7.654699537492917 
45.067179365 7.654713062 
45.067114993 7.654726586 
45.067050621 7.654740111 
45.066986249 7.654753635 
45.066921877 7.654767159 
45.066857505 7.654780684 
45.066793133 7.654794208 
45.066728761 7.654807732 
45.066664388 7.654821257 
45.066600016 7.654834781 
45.066535644 7.654848305 
45.066471272 7.654861830 
45.066406900 7.654875354 
45.066342528 7.654888878 
45.066278156 7.654902403 
45.066213783 7.654915927 
45.066149411 7.654929451 
45.066085039 7.654942976 
45.066020667 7.6549565 
45.065962833 7.654983833 
45.065914333 7.655008833 
45.065863833 7.655018667 
45.065821667 7.655031833 
45.065789 7.655044167 
45.065763 7.655057167 
45.0657435 7.6550725 
45.065729833 7.655088833 
45.0657175 7.655099333 
45.065707833 7.655107 
45.065700167 7.655113167 
45.065698833 7.655119833 
45.065699 7.655123333 
45.065697833 7.655127167 
45.065695333 7.655131 
45.065692833 7.655134 
45.065689833 7.655137333 
45.065689667 7.655139833 
45.065687167 7.6551435 
45.065673167 7.655148333 
45.065647833 7.6551555 
45.0656155 7.655165667 
45.065575167 7.655176333 
45.065528667 7.655192833 
45.065478833 7.655208333 
45.065424667 7.655224667 
45.065362167 7.6552405 
45.065294667 7.655259833 
45.065227667 7.655283833 
45.065155667 7.655307667 
45.06508 7.655326167 
45.065017667 7.655366333 
45.0649465 7.655396333 
45.0648555 7.655415167 
45.064776833 7.655447833 
45.064685667 7.655467833 
45.064607167 7.6555 
45.064519333 7.655519833 
45.064421333 7.655542333 
45.0643265 7.655558667 
45.064234167 7.655583667 
45.0641325 7.655601833 
45.064030333 7.655618667 
45.063933167 7.655637 
45.063837833 7.655664833 
45.063745167 7.655689667 
45.0635475 7.655737333 
45.0634505 7.655760167 
45.063351167 7.655780167 
45.063254667 7.655801667 
45.063154667 7.655827667 
45.0630555 7.65585 
45.062946333 7.655879167 
45.062837 7.655909667 
45.062731 7.655941667 
45.062629 7.655977 
45.062530833 7.656018667 
45.062434667 7.656038 
45.062336833 7.656056833 
45.062240833 7.656077667 
45.062147333 7.656102167 
45.062053333 7.656125333 
45.061958167 7.6561445 
45.061865333 7.656167 
45.061768833 7.656187 
45.06167 7.6562065 
45.0615715 7.656229833 
45.0614735 7.656252833 
45.0613785 7.6562815 
45.061293167 7.6563165 
45.061201667 7.656346333 
45.061103 7.656364167 
45.061002167 7.656374833 
45.060909333 7.65639 
45.060821 7.6564055 
45.060735333 7.656417833 
45.060653 7.656429833 
45.060573 7.656443833 
45.0604975 7.656457 
45.060430167 7.656468667 
45.060375667 7.656479167 
45.060332667 7.656485333 
45.060299667 7.656490167 
45.060278667 7.656492667 
45.060269333 7.6564935 
45.060265667 7.656491833 
45.060264833 7.656490333 
45.060265 7.65649 
45.060264667 7.656489167 
45.060264167 7.6564885 
45.060262667 7.656487 
45.060262 7.656486 
45.060261333 7.656485 
45.060260333 7.656484167 
45.060259667 7.656483833 
45.060259167 7.656483667 
45.060258167 7.656483167 
45.060257333 7.6564825 
45.060256333 7.656482 
45.060255333 7.656481833 
45.060254167 7.6564815 
45.0602535 7.656481167 
45.060253333 7.656481333 
45.060253333 7.656480833 
45.060253167 7.656480833 
45.060252167 7.656480333 
45.060250667 7.656479333 
45.060249833 7.656478833 
45.060251 7.656479667 
45.060251333 7.656480167 
45.060251667 7.656480667 
45.060250833 7.656480333 
45.060251 7.656480667 
45.0602505 7.656480833 
45.060250833 7.656481667 
45.0602505 7.656481833 
45.0602505 7.656482167 
45.0602505 7.6564825 
45.060251167 7.6564835 
45.060250667 7.656484833 
45.060244 7.656486667 
45.060227 7.65649 
45.060202333 7.656496 
45.0601695 7.656504 
